,commentary,target
134," Shamsi to Shreyas Iyer, FOUR, this time off the middle and gets it where he wanted. Iyer sits down and sweeps it backward of square leg. Ngidi was at square leg but he could not get across to make the stop ",1
135," Parnell to Shreyas Iyer, FOUR, streaky! Another inside edge and this time it wasn't far from the off-stump. Angled outside off and Iyer aims to drive but ends up playing away from the body, the edge missed the off-pole by a whisker and beat a diving de Kock ",1
136," Shamsi to Shreyas Iyer, FOUR, overcooks the flighted delivery and Iyer is quick to pounce, he takes a couple of steps down and slams it straight back over the bowler. Not off the middle but good enough to trickle away ",1
137," Ngidi to Ishan Kishan, FOUR, now Kishan lays into Ngidi. Fraction short and there was width for Kishan to capitalize, he rolls his wrists nicely on top of the cut shot and places it square on the off-side - bisecting backward point and cover-point perfectly ",1
138," Ngidi to Gaikwad, FOUR, is that the release Gaikwad and India were looking for? Short and wide outside off, Gaikwad makes a bit of room and cuts it over backward point, one bounce and over the ropes ",1
139," Parnell to Ishan Kishan, FOUR, streaky! 136ks tails in from a length just outside off, Ishan Kishan chops and gets a thick inside edge that races down to the fine leg fence in a jiffy ",1
140," Parnell to Ishan Kishan, FOUR, first runs after 4 overs. Parnell goes full and wide of off, Ishan Kishan opens the bat face and slices the drive in the gap between backward point and cover.. ",1
141," Shamsi to Samson, SIX, hammered, Samson is keeping the chase alive - dropped short by Shamsi, Samson rocked back and hammered the pull over mid-wicket, went sailing over into the stands for a maximum ",2
142," Ngidi to Samson, SIX, cracking shot, tad too short from Ngidi - Samson swivels across and connects the pull sweetly, made a loud noise as it went sailing over the deep mid-wicket boundary. India need many more of these ",2
143," Shamsi to Samson, SIX, fabulous shot! Samson uses his feet and gets close to the flighted delivery, then hits it with the spin over mid-wicket and the timing ensures that the ball travels the distance. In fact, replays show it was the googly but Samson got really close to the ball and that allowed him to loft against the turn ",2
