,commentary,target
320," Kuldeep Yadav to Miller, no run, nicely bowled, dragged the length back, drifted in and then spun away past Miller's half-hearted prod ",0
321," Kuldeep Yadav to Klaasen, 1 run, another drag-down, this time by Kuldeep, pulled past square leg for a single ",0
322," Ravi Bishnoi to Miller, no run, tossed up on middle, Miller makes room and pushes it back at the bowler ",0
323," Ravi Bishnoi to Klaasen, 1 run, loopy delivery on off, punched down to long-off for a single ",0
324,"Ravi Bishnoi to Klaasen, FOUR, cracking shot, a half-tracker from Bishnoi, Klaasen rocks back and pummels the pull over mid-wicket, right in the gap, one bounce and over the ropes",1
325," Ravi Bishnoi to Miller, 3 runs, beautifully played, fraction short by Bishnoi, Miller makes room and punches it backward of square on the off-side, long chase for the fielder and he's back for the third ",0
326," Ravi Bishnoi to Klaasen, 1 run, flighted delivery around middle and leg, worked away wide of mid-wicket for a single ",0
327," Ravi Bishnoi to Klaasen, no run, pushed through flatter and quicker of off, Klaasen backs away and finds cover with the cut ",0
328," Kuldeep Yadav to Miller, no run, more turn for Kuldeep, spins away sharply from outside off, Miller lets it go, but it's well inside the tramlines ",0
329," Kuldeep Yadav to Miller, no run, tossed up slower and spinning away from outside off - Miller had backed away and then had to reach out on the cut, mistimed it towards cover ",0
330," Kuldeep Yadav to Miller, no run, nicely bowled, loopy delivery around off, drifts in and then spins away from off, Miller was shaping across on the sweep and missed. Samson is quick to break the stumps. The third umpire has a look for a catch at the wicket, UltraEdge has a flat line, onto the stumping now - the foot is grounded and NOT OUT is the call ",0
331," Kuldeep Yadav to Miller, no run, turn for Kuldeep, spins away sharply from off, Miller was backing away on the cut and bails out ",0
332," Kuldeep Yadav to Miller, no run, tossed up just outside off, punched off the back-foot to cover ",0
333," Kuldeep Yadav to Klaasen, 1 run, dropped short and at the stumps, pulled past mid-wicket for a single ",0
334," Ravi Bishnoi to Miller, 2 runs, the wrong 'un and Miller gets lucky - it was Avesh's catch, but he was slow getting across from long-off. Dhawan was never getting to it, running back from extra-cover - Miller didn't pick the wrong 'un, went for the lofted drive and sliced it as the ball spun away from his reach ",0
335," Ravi Bishnoi to Miller, no run, flighted delivery around off, Miller backs away and finds cover with the back-foot punch ",0
336," Ravi Bishnoi to Klaasen, 1 run, the wrong 'un now, but the length is way too short, pulled away through mid-wicket for a single ",0
337," Ravi Bishnoi to Miller, 1 run, the slider from Bishnoi, drifts across the left-hander, dabbed away behind square on the off-side for a single ",0
338," Ravi Bishnoi to Klaasen, 1 run, dropped short and wide of off, slapped away square on the off-side for a single ",0
339," Ravi Bishnoi to Miller, leg byes, 1 run, tossed up on the leg-stump line, Miller was looking to swing it over mid-wicket and missed, sneaks in a leg-bye as the ball rolls to the off-side ",0
340," Ravi Bishnoi to Miller, wide, Bishnoi has been poor today, drifts one well down leg, past Miller's sweep and is called as a wide ",0
341," Thakur to Klaasen, 2 runs, nips back in from short of length and Klaasen tucks it to fine leg, sees Avesh coming slowly towards the ball and steals a second ",0
342," Thakur to Klaasen, no run, bumper right at the head, Klaasen ducks and allows it to sail through to Samson. Two for the over signals the umpire ",0
343," Thakur to Miller, 1 run, back of a length at the hips, Miller tucks it to fine leg ",0
344," Thakur to Miller, wide, bouncer around off, Miller drops his hands and allows it to fly through, wide called for height ",0
345," Thakur to Miller, no run, was there an edge? No appeal from Thakur and Samson. Good length ball angled across, Miller overbalances on his forward and goes feeling for the ball, beaten on the outside edge ",0
346," Thakur to Miller, no run, much closer to off-stump, Miller hangs back and defends in front of cover ",0
347," Thakur to Miller, no run, on a length and angled across, Miller goes hard on the drive and chops it to cover ",0
348," Ravi Bishnoi to Klaasen, no run, googly on a shortish length, Klaasen stands tall and bunts it to the off-side ",0
349," Ravi Bishnoi to Klaasen, no run, 94ks leg-break on off-stump, Klaasen hangs back and defends to cover ",0
350," Ravi Bishnoi to Miller, 1 run, flatter and quicker, Miller tucks it to the left of mid-wicket and picks up the single ",0
351," Ravi Bishnoi to Miller, SIX, fabulous shot! Bit more flight and there was width outside off, Miller just extends his arms and lofts it over mid-off. That was a safe shot with the fielder inside the ring ",1
352," Ravi Bishnoi to Klaasen, 1 run, dragged short and Bishnoi gets away with it, Klaasen goes hard on the pull and mistimes to deep square leg ",0
353," Ravi Bishnoi to Miller, 1 run, leg-break around off, Miller works it with the spin to deep mid-wicket ",0
354," Kuldeep Yadav to Miller, 1 run, flatter and at the stumps, Miller nudges it into the vacant mid-wicket region ",0
355," Kuldeep Yadav to Miller, no run, slower through the air, Miller prods forward and defends in front of point ",0
356," Kuldeep Yadav to Miller, no run, pushed it through and Miller is caught in the crease, settles with a block to cover ",0
357," Kuldeep Yadav to Miller, 2 runs, tossed up around off, Miller reverse sweeps behind square on the off-side and scampers back for the second ",0
358," Kuldeep Yadav to Miller, byes, 2 runs, ripper! That's an excellent riposte from Kuldeep. Quicker, drifts across and spins sharply, Miller is rooted to the crease and beaten neck and crop, Samson once again struggles to glove one cleanly. Two more extras ",0
359," Kuldeep Yadav to Miller, FOUR, first ball against Kuldeep and Miller brings out the sweep, he fetches it from outside off and strikes in front of square to the vacant deep mid-wicket region ",1
360," Ravi Bishnoi to Miller, 1 run, pushed through around off, Miller drops it into the off-side and crosses over ",0
361," Ravi Bishnoi to Miller, FOUR, Miller is off and running. Half tracker from Bishnoi and Miller was not missing out, he quickly transfers his weight back and cracks the cut in front of square. No one at sweeper cover to stop that ",1
362," Ravi Bishnoi to Miller, no run, googly drifted across and Miller angles it with an open bat face to backward point ",0
363," Ravi Bishnoi to Miller, wide, strays down leg, Miller misses the tuck and Samson gets something on that ",0
364," Ravi Bishnoi to Miller, no run, quicker, fuller and around off, Miller prods forward and eases it to the left of Bishnoi ",0
365," Ravi Bishnoi to de Kock, out Lbw!! That looked dead as soon as de Kock missed it but he still challenged the decision, South Africa lose the review. It is the reverse sweep that has brought about his downfall, Bishnoi pushed it through and dragged the length back as well, de Kock does not get anything and is struck right in front of the stumps. No doubt in umpire Anil Chaudhary's mind and India have got a massive wicket. de Kock lbw b Ravi Bishnoi 48(54) [4s-5] ",1
366," Ravi Bishnoi to de Kock, leg byes, 2 runs, spinning in and de Kock misses the flick, the ball deflects off the pad and the pair settle with a brace ",0
367," Kuldeep Yadav to Klaasen, no run, slower and the length is dragged back, Klaasen is through the reverse sweep and misses, struck high and outside off-stump ",0
368," Kuldeep Yadav to de Kock, 1 run, very full delivery and de Kock tries to whip it into the leg-side, closes the bat face and the leading edge rolls to point ",0
369," Kuldeep Yadav to de Kock, no run, flighted and bit of away turn, de Kock prods forward and blocks solidly ",0
370," Kuldeep Yadav to Klaasen, 1 run, dipping full toss and Klaasen somehow gets his bat down on the sweep, hits it along the ground to deep square leg ",0
371," Kuldeep Yadav to de Kock, 1 run, now the conventional sweep and de Kock hits it straight to deep square leg ",0
372," Kuldeep Yadav to de Kock, no run, tossed up around off, de Kock reverse sweeps it straight to backward point ",0
373," Siraj to Klaasen, FOUR, unlucky! Another well-directed short ball and Klaasen once again was trying to evade taking his eyes off, the ball brushes the glove and flies over a leaping Samson ",1
374," Siraj to Klaasen, no run, he's ducked straight into a bouncer. This time Siraj gets his radar spot on, aims for the batter and Klaasen takes his eyes off the short ball, gets hit on the shoulder and shows no sign of pain ",0
375," Siraj to Klaasen, wide, short and into the wicket but the ball angles down leg, Klaasen gets inside the line and lets it pass, wide called ",0
376," Siraj to de Kock, 1 run, leg-lined delivery at 133ks, de Kock tucks it to deep square leg ",0
377," Siraj to de Kock, wide, slips the slower delivery down leg, de Kock misses the glance and Samson dives to his right to glove the ball ",0
378," Siraj to Klaasen, 1 run, 135.1ks delivery angled in, Klaasen hops and clips it to deep square leg ",0
379," Siraj to de Kock, 1 run, 130.4ks full delivery on off, de Kock pats it with soft hands in front of mid-on and quickly crosses over ",0
380," Siraj to de Kock, FOUR, cheeky! de Kock knows there's no fine leg in place, so he moves across his stumps and laps the back of a length delivery to the vacant region ",1
381," Kuldeep Yadav to Klaasen, no run, floated up outside off, Klaasen drives and picks out mid-off ",0
382," Kuldeep Yadav to Klaasen, no run, drifted across the right hander, Klaasen goes for the reverse and misses, struck on the pad outside off-stump ",0
383," Kuldeep Yadav to Klaasen, no run, quicker and at the stumps, Klaasen hangs back and turns it to mid-wicket ",0
384," Kuldeep Yadav to Klaasen, FOUR, shot! This time the sweep works. Klaasen picks the chinaman and sweeps it with the spin to deep square leg, bisected the two fielders in the deep perfectly ",1
385," Kuldeep Yadav to Klaasen, 2 runs, gift and Klaasen has missed out. Juicy full toss but Klaasen had premeditated the sweep and has to swipe it towards deep mid-wicket, Gaikwad gets around and keeps it to a brace ",0
386," Kuldeep Yadav to de Kock, 1 run, eased down to long-off ",0
387," Avesh Khan to Klaasen, no run, full delivery shaping away outside off, Klaasen shoulders arms ",0
388," Avesh Khan to Klaasen, FOUR, fullish delivery and Klaasen checked his on-drive, chips it past de Kock and luckily it is wide of Thakur at mid-on, once it passes the infield there's no stopping that ",1
389," Avesh Khan to Klaasen, no run, 129.7ks good length ball outside off, Klaasen lifts his bat and lets it go ",0
390," Avesh Khan to Klaasen, no run, 131.1ks full delivery at the stumps, Klaasen eases it gently to mid-on ",0
391," Avesh Khan to Klaasen, no run, there's still enough assistance for the bowlers. Good length ball in the channel, Klaasen plays for the angle coming in and has a poke, the ball holds its line and beats the outside edge ",0
392," Avesh Khan to Klaasen, wide, sprays the outswinger outside off and Klaasen ignores, easy call for the umpire ",0
393," Avesh Khan to Klaasen, no run, 132.5ks good length ball around off, Klaasen camps back and defends to the off-side ",0
394," Kuldeep Yadav to de Kock, 2 runs, picks a very full delivery to play the reverse and de Kock manages to get it past a diving backward point, Gaikwad tidies up in the deep ",0
395," Kuldeep Yadav to Klaasen, 1 run, slower and drifted across, Klaasen reverse sweeps to deep backward point ",0
396," Kuldeep Yadav to de Kock, 1 run, flighted on off and middle, de Kock sits down and reverse sweeps to sweeper cover ",0
397," Kuldeep Yadav to de Kock, no run, uhhh! Kuldeep is hitting the right areas. Tossed up on off-stump and de Kock has to play, he prods forward to defend but the ball spins away and beats the outside edge ",0
398," Kuldeep Yadav to Klaasen, 1 run, in the air and safe. Klaasen premeditates the paddle and the top-edge balloons over the keeper, Dhawan anticipates the shot and starts running back from slip but the ball evades him and lands safely ",0
399," Kuldeep Yadav to de Kock, 1 run, low dipping full toss and de Kock flicks to deep square leg, just a single ",0
400," Thakur to Klaasen, no run, nips back in from a good length and Klaasen turns it off the inner half to mid-wicket ",0
401," Thakur to de Kock, 1 run, back of a length close to off, de Kock drops it with soft hands in front of backward point and calls for a quick single ",0
402," Thakur to Klaasen, 1 run, fuller in length and Klaasen drives sans footwork to mid-off, quickly crosses over ",0
403," Thakur to Klaasen, no run, good length ball around off, Klaasen hangs back and jams it onto the pad ",0
404," Thakur to Klaasen, no run, attacks the stumps, Klaasen is right behind the line to defend it down the pitch ",0
405," Thakur to de Kock, 1 run, fraction short and around off, de Kock gives room and flays it behind square on the off-side, just a single ",0
406,"Kuldeep Yadav to Markram, out Bowled!! Whoa! That's another beauty to get rid of Markram. Kuldeep had him in a web from the first ball and it seemed only a matter of time before Markram was sent packing. This is a conventional chinaman, drifts across the right hander and spins back in sharply, Markram plunges forward to defend but the ball finds a gap between bat and pad, goes on to hit the top of off-stump and Kuldeep enjoyed that. The ball brushed the front pad but not enough to save Markram. Markram b Kuldeep Yadav 0(5)",1
407," Kuldeep Yadav to Markram, no run, sharp turn and plenty of it, Markram's making room and is lucky that the ball spun that much, he ekes out an inside edge onto the pad ",0
408," Kuldeep Yadav to Markram, no run, quicker and drifted across, Markram is not picking him and somehow dabs it to backward point ",0
409," Kuldeep Yadav to Markram, no run, uhhh! The wrong 'un and Markram had no clue. He's saved by the shortish length as the ball spins away and beats the outside edge ",0
410," Kuldeep Yadav to Markram, no run, in the air and safe. Markram would have had his heart in his mouth. The ball spins in and is heading down leg, Markram closes the bat face to work it into the leg-side and the leading edge pops up, lands safely near silly mid-off ",0
411," Kuldeep Yadav to de Kock, 1 run, tossed up on off, de Kock nurdles it with soft hands backward of square and quickly crosses over ",0
412," Thakur to Bavuma, out Bowled!! Jaffa! This is a peach from Thakur and Bavuma had no answer to that. The nip-backer from a fullish length and Bavuma is beaten by the exaggerated movement, he attempts a forward push away from the body and leaves a gap between bat and pad, the ball sneaks through to hit off and middle-stump. Bavuma's woes on this tour continue.. Bavuma b Thakur 8(12) [4s-2] ",1
413," Thakur to de Kock, 1 run, short of length at the body, de Kock gets the pull high on the bat and the ball trickles to deep square leg ",0
414," Thakur to de Kock, no run, uhhh! This one nips back in and cramps de Kock for room, he attempts the cut and is lucky not to have edged/chopped it onto the stumps. He has a wry smile and so does Thakur ",0
415," Thakur to de Kock, no run, good length ball close to off, de Kock hangs back and bunts it down the pitch ",0
416," Thakur to de Kock, no run, fuller and around off, de Kock leans forward and drives it to cover ",0
417," Thakur to de Kock, FOUR, streaky! Good length ball angled across off, de Kock goes for the drives and plays outside the line, the inside edge flies past the stumps and races to fine leg ",1
418," Ravi Bishnoi to Bavuma, FOUR, massive over, 16 runs. All the pressure built in the last few overs have been let go. Overcooks the flighted delivery outside off and Bavuma does not miss out, he opens the bat face and square drives it through point, giving sweeper cover no chance of stopping the ball ",1
419," Ravi Bishnoi to Bavuma, no run, flatter and at the stumps, Bavuma is nicely behind the line and defends to mid-wicket ",0
420," Ravi Bishnoi to Bavuma, wide, darted down leg and Bavuma misses out on the pull. Samson and Bishnoi appeal for a strangle but that was to try and put the umpire off. Bishnoi is struggling and Dhawan rightly walks up to have a word ",0
421," Ravi Bishnoi to Bavuma, no run, fired it short and into the wicket, Bavuma tries to swing through the line and is defeated by the pace ",0
422," Ravi Bishnoi to Bavuma, no ball, FOUR, off the mark with an audacious reverse sweep. It was the googly and Bavuma picked it from outside leg-stump and swept it square on the off-side. Bishnoi has overstepped ",0
423," Ravi Bishnoi to Bavuma, no run, slower and around off, Bavuma prefers to stay back and keep it out to point ",0
424," Ravi Bishnoi to Bavuma, no run, shortens the length on the leg-break, Bavuma hangs back and has a prod, the ball spins away and beats the outside edge ",0
425," Ravi Bishnoi to de Kock, 1 run, leg-lined delivery and de Kock flicks it to deep mid-wicket ",0
426," Ravi Bishnoi to de Kock, 5 wides, bonus runs for South Africa. Poor from Bishnoi and Samson. Leg-break starts outside leg-stump and keeps going further down, no chance for de Kock but Samson should have done better, he moves to his right and gets a glove but not enough to stop the ball ",0
427," Thakur to Bavuma, no run, a wicket-maiden for Shardul Thakur as Bavuma blunts the full delivery back down the pitch ",0
428," Thakur to Bavuma, no run, good length just outside off at 132ks, tapped late to backward point ",0
429," Thakur to Bavuma, no run, looks to cut a 130ks delivery on the hop and gets a thick inside edge that deflects onto his boot. Very lucky there is the South African skipper ",0
430," Thakur to Bavuma, no run, full and angled in on the stumps at 132ks, solid forward block ",0
431," Thakur to Bavuma, no run, 128ks good length on off, Bavuma is happy to block that with soft hands ",0
432," Thakur to Janneman Malan, out Caught by Shreyas Iyer!! That drop catch doesn't cost much. Shardul Thakur is delighted. Sends in a full delivery at the pads and entices Janneman Malan into an aerial whip/flick. The ball seemed to have stopped a touch and it flies off the thick toe-end towards Iyer at mid-wicket. Catching practice. Janneman Malan c Shreyas Iyer b Thakur 22(42) [4s-3] ",1
433," Ravi Bishnoi to de Kock, no run, tries the reverse for the third time in the over and fails yet again, he was a little too early into the shot and missed it completely. Strikes him in  front of off and it's clearly missing off with the spin (googly) ",0
434," Ravi Bishnoi to de Kock, 2 runs, full on the stumps, whipped away to the left of long-on ",0
435," Ravi Bishnoi to de Kock, 2 runs, bowls it full just outside off, QDK stays low and paddles it fine past the keeper for an easy couple of runs ",0
436," Ravi Bishnoi to de Kock, no run, attempts the reverse once again and gets beaten for pace outside off this time around ",0
437," Ravi Bishnoi to de Kock, no run, picks the full delivery from leg stump and slams the reverse sweep straight to the fielder at short third ",0
438," Ravi Bishnoi to Janneman Malan, 1 run, tossed full just outside off, pushed away square on the off-side for a quick single ",0
439," Thakur to Janneman Malan, 1 run, 134ks sits up on a length wide of off, sweetly punched to deep cover ",0
440," Thakur to Janneman Malan, no run, back of a length outside off, punched straight to cover ",0
441," Thakur to Janneman Malan, no run, short of length outside off, Malan hops and punches to extra cover ",0
442," Thakur to de Kock, 1 run, 130ks length delivery on the stumps, easy tuck away towards square leg ",0
443," Thakur to Janneman Malan, 1 run, swivels and pulls the 131ks short ball down to fine leg ",0
444," Thakur to Janneman Malan, no run, tries to flick a 134ks nip-backer and gets beaten on the inside edge, hit high on the front pad ",0
445," Ravi Bishnoi to de Kock, no run, touch quicker around off-stump, QDK looks to work into the leg-side and gets hit on the splice ",0
446," Ravi Bishnoi to Janneman Malan, 1 run, googly once again, a tad shorter and drifting into the pads as Malan pulls it to deep mid-wicket ",0
447," Ravi Bishnoi to de Kock, 1 run, drags the googly short and wide of off, QDK cuts it along the ground to sweeper cover ",0
448," Ravi Bishnoi to de Kock, FOUR, loads it full and just outside off, QDK stays low and hammers the sweep behind square on the leg-side. Timed it really well and got the desired result ",1
449," Ravi Bishnoi to de Kock, no run, quicker outside off, pushed into the covers ",0
450," Ravi Bishnoi to de Kock, FOUR, cheeky from QDK! Picks the googly just outside off and plays the latest of cuts to get it past Dhawan's left at slip ",1
451," Thakur to Janneman Malan, no run, short and wide of off at 130ks, Malan mistimes the cut (off the inside edge) to backward point ",0
452," Thakur to Janneman Malan, no run, 132ks short of length outside off, left alone to the keeper ",0
453," Thakur to de Kock, 1 run, looks to fend a 128ks short of length delivery and gets a thick inside edge that rolls to square leg ",0
454," Thakur to Janneman Malan, 1 run, full outside off, driven away to deep cover ",0
455," Thakur to Janneman Malan, no run, dropped! Thakur finds his length outside off and draws Malan into a loose poke, a thick outside edge and it carries comfortably towards Gill at slip who couldn't cling on. Straight in and straight out ",0
456," Thakur to de Kock, 1 run, 127ks back of a length on the stumps, QDK drags the pull off the splice into the leg-side for a quick single ",0
457," Avesh Khan to Janneman Malan, 2 runs, 128ks full outside off, Malan gets a thick inside edge on the push that races to the left of fine leg ",0
458," Avesh Khan to Janneman Malan, no run, 128ks shaping away well outside off, Malan wants none of it - Left alone! ",0
459," Avesh Khan to Janneman Malan, no run, goes fuller and wider of off, left alone to the keeper ",0
460," Avesh Khan to Janneman Malan, FOUR, much-needed boundary for South Africa. You cannot be bowling short to the Proteas. Not when there isn't a great deal of bounce on the deck. 133ks angled into the body and Malan slams the pull square on the leg-side ",1
461," Avesh Khan to Janneman Malan, no run, pitched up outside off at 130ks, Malan drives and finds extra cover ",0
462," Avesh Khan to Janneman Malan, no run, 134ks inswinger on a length, Malan looks to play straight and gets a leading edge towards backward point ",0
463," Siraj to de Kock, no run, woof! That's a peach from Siraj. 133ks hits the seam on a fullish length and cuts away sharply off the deck as QDK stares in disbelief on the back foot ",0
464," Siraj to Janneman Malan, 1 run, 130ks good length on off, Malan shuffles down the track and works it wide of mid-on for a quick single ",0
465," Siraj to Janneman Malan, no run, 130ks back of a length outside off, punched straight to cover ",0
466," Siraj to Janneman Malan, wide, slower ball bumper that sails down the leg-side as Malan withdraws the pull, on the swivel, at the last moment ",0
467," Siraj to Janneman Malan, no run, 132ks on a length outside off, Malan strides across and smothers it into the covers ",0
468," Siraj to Janneman Malan, no run, pitched up outside off at 133ks, Malan drives and gets it off the toe-end towards mid-on ",0
469," Siraj to Janneman Malan, no run, snakes back from a length at 132ks, Malan tries to knock into the leg-side and gets beaten on the inside edge. Hit high on the front pad ",0
470," Avesh Khan to de Kock, no run, length delivery seeking off-stump, punched back to the left of the bowler ",0
471," Avesh Khan to de Kock, no run, good length just outside off, QDK gets across and nudges to mid-wicket ",0
472," Avesh Khan to de Kock, no run, 132ks pitched up just outside off, no feet from QDK and he gets an inside edge onto pad on the attempted drive ",0
473," Avesh Khan to de Kock, 2 runs, hangs back and punches the length delivery in the gap between cover and backward point. Easy two ",0
474," Avesh Khan to de Kock, no run, 133ks back of a length outside off, QDK punches crisply and finds backward point ",0
475," Avesh Khan to de Kock, no run, 132ks good length on off, defended into the off-side ",0
476," Siraj to Janneman Malan, FOUR, 131ks short ball with no venom, Malan swivels and powers the pull to the right of fine leg. Siraj isn't happy with the effort of the fielder? Or perhaps he isn't happy with himself for bowling that line? ",1
477," Siraj to Janneman Malan, no run, 134ks short of length outside off, Malan plays the late dab to backward point ",0
478," Siraj to Janneman Malan, no run, 132ks jags in sharply off the seam and Janneman Malan does well to cover his off-stump and shoulder arms ",0
479," Siraj to Janneman Malan, no run, 133ks on a length outside off, left alone ",0
480," Siraj to de Kock, 1 run, 133ks help-me on the pads, QDK is happy to flick it square on the leg-side for an easy single ",0
481," Siraj to de Kock, no run, 134ks shaping away from the left-hander, hits the seam and moves a long way past the outside edge as QDK stares in surprise ",0
482," Avesh Khan to Janneman Malan, no run, full and seams in at 133ks outside off, Malan opts for a booming drive and gets beaten on the outside edge ",0
483," Avesh Khan to Janneman Malan, no run, wider lines, left alone to the keeper ",0
484," Avesh Khan to Janneman Malan, no run, 132ks slanted in from wide of the crease, Malan walks across and gets beaten on the inside edge. He was looking to push on the off-side and deflected it to the slip cordon off the thigh pad ",0
485," Avesh Khan to de Kock, 1 run, 133ks curling into the pads, easy clip away down to fine leg ",0
486," Avesh Khan to de Kock, no run, zips off the deck from a length and beats QDK once again as he tries to fend from the crease ",0
487," Avesh Khan to de Kock, no run, 134ks short of length angling away outside off, QDK looks to defend and gets beaten on the outside edge ",0
488," Siraj to Janneman Malan, FOUR, signature Janneman Malan! He loves the punch through covers and does not put too much effort on the front foot. Just sits comfortably in the crease and times it sweetly in the gap on the off-side ",1
489," Siraj to Janneman Malan, no run, squared him all ends up! Gets the length delivery to angle in and tail away ever so slightly to beat the shuffling push of Janneman Malan ",0
490," Siraj to Janneman Malan, no run, 134ks shapes in and holds its line outside off, Malan is nearly drawn into a poke. Manages to play inside the line at the last possible instant ",0
491," Siraj to Janneman Malan, no run, 131ks shortens the length and keeps it in the outside off corridor, Malan looks to push into the off-side and gets beaten on the outside edge ",0
492," Siraj to Janneman Malan, no run, Siraj loads it further wide of off at 136ks, Malan is happy to leave that to the keeper ",0
493," Siraj to Janneman Malan, no run, 129ks fuller and well wide of off-stump, Malan lunges across and shoulders arms ",0
494," Avesh Khan to de Kock, no run, beauty! 138ks skids off the deck from a length and rips past the outside edge as QDK looks to poke into the off-side ",0
495," Avesh Khan to de Kock, FOUR, stand and deliver! de Kock does not overcomplicate things. He sees a full ball in the outside off channel and the hands take over, driven crisply and beats mid-off to his left quite comfortably ",1
496," Avesh Khan to de Kock, no run, a huge grunt of ""ahhhh"" from Quinton de Kock as he gets hit on the inner thigh pad. Was squared up a tad as he tried to nudge a length delivery into the leg-side and got beaten by the late away movement ",0
497," Avesh Khan to de Kock, 2 runs, misfield from Shreyas Iyer. 136ks pitched up outside off, QDK drives to the left of mid-off who fumbles on the dive and enables an easy second for the duo ",0
498," Avesh Khan to de Kock, no run, 135ks full outside off, not a flowing drive from QDK and he's mistimed it straight to mid-off ",0
499," Avesh Khan to de Kock, no run, 127ks curves back in from a length and beats QDK on the inside edge, a mild appeal for lbw but that's a little too high in line with middle and leg ",0
500," Siraj to Janneman Malan, no run, good length angled in just outside off at 131ks, Malan shuffles and punches to cover ",0
501," Siraj to Janneman Malan, no run, angles in and seams away from a fuller length, draws Malan onto the front foot and beats the outside edge ",0
502," Siraj to Janneman Malan, 2 runs, goes a tad full outside off and Janneman Malan slices the drive behind square on the off-side for a couple of runs ",0
503," Siraj to Janneman Malan, no run, good length on off, bunted down the pitch with soft hands ",0
504,"Siraj to Janneman Malan, no run, wobbles in from a fullish length and holds its line around off, Malan was on the shuffle and played down the wrong line. He was looking to push it towards mid-on with a closed bat face and misses it completely, it strikes him below the knee roll in line with off which got Siraj and the others excited. Not a bad review that from India...",0
505," Siraj to Janneman Malan, no run, fuller and seaming in outside off, Janneman Malan is happy to shoulder arms ",0
506," Nortje to Shreyas Iyer, FOUR, Iyer fittingly finishes things and it's 1-1! A classy square-drive to cap things off, was a wide half-volley and with the field up on the off-side, Iyer could pick his spot. He decided to get it through backward point ",1
507," Nortje to Samson, 1 run, angling into the hips, Samson gets across and clips it away behind square leg ",0
508," Nortje to Samson, no run, full and outside off, Samson punches it firmly to mid-off ",0
509," Nortje to Samson, no run, back of a length around off, Samson gets on the back foot and defends ",0
510," Nortje to Samson, FOUR, okay, Samson decides to give the T20 fans some finishing joy. Stays back and uses all of the pace on this shortish delivery with a delightful late dab. Tried it off Nortje's last over, was denied by some great fielding but third man can't do anything this time ",1
511," Parnell to Samson, 1 run, well, they are actually doing this in singles. Sure the purists will love this, not the modern day folks. Fuller length ball, Samson gets a faint inside edge on the flick and this goes off the back pad towards short third man ",0
512," Parnell to Shreyas Iyer, 1 run, short and angling into the hips, Iyer whips it away behind square leg ",0
513," Parnell to Samson, 1 run, slower ball, fuller, Samson gets forward and jabs this back towards Parnell who has a needless shy at the striker's end. Hits the stumps but Samson was well in. The batters get a single off the ricochet ",0
514," Parnell to Samson, no run, angling in around middle and leg, Samson clips it gently to mid-wicket ",0
515," Parnell to Shreyas Iyer, 1 run, slanting into the hips, Iyer tucks it gently towards mid-wicket ",0
516," Parnell to Shreyas Iyer, no run, back of a length around off, Iyer stays in the crease and punches it to mid-off ",0
517," Nortje to Shreyas Iyer, 1 run, short of a length outside off, Iyer steers it away down to third man ",0
518," Nortje to Shreyas Iyer, 2 runs, short ball, Iyer shuffles inside the line and pulls it away to the left of fine leg. Better running this time and they get a brce ",0
519," Nortje to Samson, 1 run, deft from Samson! Used all of Nortje's pace for a lovely late dab. Wasn't all that short but he just got deep in the crease and steered it away. Third man got across with a terrific slide to save the boundary and strangely, only a single taken. Maybe the batters were so sure of the boundary ",0
520," Nortje to Samson, no run, full and angled in on leg stump, Samson tucks it gently to mid-wicket ",0
521," Nortje to Shreyas Iyer, 1 run, fuller and outside off, Iyer gets across and drives it fluently through the covers ",0
522," Nortje to Samson, 1 run, short and wide, Samson stands tall and cuts it away past backward point ",0
523," Rabada to Samson, 1 run, back of a length around off, Samson dabs it away down to third man ",0
524," Rabada to Samson, SIX, Samson joins in the fun now! He smartly played it safe till Shreyas Iyer got his century and with the target also in sight now, decides to open up. Cracking shot too! Was fractionally short, he just stood tall and muscled the pull over wide long-on. Towering blow! ",1
525," Rabada to Samson, no run, slanting in around off, Samson gets across a touch and defends ",0
526," Rabada to Shreyas Iyer, 1 run, slanting into the pads, Iyer tickles it down to fine leg ",0
527," Rabada to Shreyas Iyer, FOUR, makes the Free Hit count, gets to his 2nd ODI ton! Knew the short ball is coming, backed away early and slapped it away over extra cover. Not the ideal connection but with the field up, he played the percentages well there. A fine knock from Iyer, his ODI form has always been very good and he continues to impress in the 50-over format ",1
528," Rabada to Shreyas Iyer, no ball, slower and fuller outside off, Iyer defends with soft hands. Now then, Rabada has overstepped an and Iyer can't ask for a better way to get to 100 ",0
529," Rabada to Samson, 1 run, in-angler around off, Samson defends with soft hands towards cover and Shreyas Iyer wants the single. Easily done ",0
530," Maharaj to Samson, 1 run, full and flat, Samson bunts it past cover ",0
531," Maharaj to Shreyas Iyer, 1 run, speared into the pads, Iyer nurdles it away through square leg ",0
532," Maharaj to Shreyas Iyer, FOUR, cut away! Just a tad short and that's enough for Iyer who sits deep in his crease and late cuts this away. Short third man could have perhaps done better, but it was struck well too ",1
533," Maharaj to Shreyas Iyer, no run, quicker one around middle, cramps Iyer on the back foot as he misses the flick ",0
534," Maharaj to Samson, 1 run, sloppy, sloppy stuff! Wayward throw at the keeper's end and it's well over the leaping de Kock. Rabada isn't backing up and they concede a single. Samson stepped out for the inside out but was fired flat and full by Maharaj, dug out to cover. Should have been a dot. Instead it's a single ",0
535," Maharaj to Samson, no run, drifting in from around off, Samson defends gently to the off-side ",0
